age,gender,vehicle_age,vehicle_type,annual_mileage,accidents_history,traffic_violations,license_years,city_type,credit_score,anti_theft,multi_car,premium
30,female,12,sedan,42499,4,1,12,urban,778,yes,no,3780
48,male,4,suv,27452,3,4,30,suburban,602,yes,no,3780
64,female,15,hatchback,12670,0,3,46,suburban,686,no,yes,1905
53,female,10,suv,26151,3,0,35,rural,771,yes,no,2732
62,female,4,truck,22341,3,3,44,rural,633,yes,yes,3150
41,male,12,hatchback,34604,2,3,23,urban,608,yes,yes,3060
69,female,10,suv,13287,2,7,50,suburban,827,yes,no,2880
73,female,18,sedan,23538,0,4,50,rural,839,yes,yes,1722
32,female,2,truck,22015,3,3,14,rural,462,no,no,3486
46,male,14,sports,49644,2,7,28,rural,354,no,no,4728
25,female,6,sports,20852,4,3,7,suburban,754,yes,no,4004
22,female,6,sedan,26258,4,4,4,urban,604,no,yes,4037
46,female,5,truck,43330,4,7,28,urban,401,yes,no,4817
64,male,2,truck,46508,4,4,46,rural,687,no,no,4423
21,female,12,truck,7248,3,2,3,rural,507,yes,no,2805
29,female,6,truck,11192,4,3,11,rural,614,yes,yes,3253
62,female,4,sports,32410,3,1,44,rural,348,yes,yes,4261
19,male,17,suv,14895,0,6,1,rural,817,no,no,2109
44,male,7,truck,11406,0,0,26,suburban,447,no,no,1892
48,female,16,suv,38924,4,5,30,urban,510,no,no,4750
68,male,19,truck,46303,4,0,50,suburban,671,yes,yes,3191
68,male,0,hatchback,10295,4,4,50,suburban,346,yes,yes,4031
53,male,13,hatchback,17264,0,7,35,rural,798,no,yes,2291
53,female,16,hatchback,33038,2,5,35,suburban,454,no,no,3588
43,female,9,truck,43922,0,4,25,urban,529,yes,yes,3457
60,male,11,suv,14136,4,6,42,rural,599,yes,no,4396
44,male,15,sports,18213,2,7,26,urban,457,yes,yes,4351
22,male,13,sedan,17072,2,6,4,suburban,546,no,no,3082
37,female,15,sports,48010,1,2,19,rural,450,yes,yes,3080
28,female,7,truck,41053,3,3,10,urban,598,yes,yes,3991
27,male,9,hatchback,32431,4,4,9,urban,353,yes,yes,4561
57,male,16,hatchback,47290,3,6,39,rural,522,yes,yes,4226
55,male,17,suv,7003,1,4,37,urban,766,no,no,2640
23,male,19,truck,24999,3,0,5,rural,785,yes,no,2615
25,female,15,sports,36279,4,3,7,rural,743,no,no,4455
40,male,16,truck,47747,1,2,22,suburban,437,yes,yes,2900
64,female,15,truck,15438,3,6,46,urban,591,no,no,4137
43,male,18,hatchback,19227,0,7,25,rural,509,no,yes,2375
63,male,7,sports,8672,2,4,45,suburban,510,no,yes,3557
60,male,5,sedan,12458,1,4,42,suburban,687,no,yes,2318
29,male,5,hatchback,23539,0,7,11,rural,695,yes,no,2220
43,male,8,sports,8479,4,4,25,rural,423,no,yes,4414
30,female,3,suv,19887,2,0,12,urban,423,no,yes,3485
57,male,11,hatchback,5051,1,6,39,urban,367,yes,yes,3324
35,male,11,suv,7159,2,4,17,urban,774,no,yes,3001
42,male,16,hatchback,9390,1,4,24,rural,657,no,no,2213
50,female,14,truck,25035,1,0,32,suburban,755,yes,no,1594
64,female,8,sports,33491,3,4,46,suburban,645,no,no,4462
57,female,6,suv,21080,2,7,39,rural,820,yes,no,3154
60,female,9,hatchback,39880,2,3,42,urban,797,no,no,3595
29,male,15,suv,27149,0,3,11,suburban,627,no,yes,2112
61,male,11,hatchback,20339,4,0,43,suburban,629,no,no,2895
53,male,6,hatchback,34305,0,3,35,urban,726,yes,no,2369
65,female,17,sedan,6354,3,5,47,suburban,742,no,no,2820
21,male,14,sedan,10620,1,5,3,urban,394,yes,no,2539
22,male,5,sedan,8754,3,5,4,suburban,750,no,no,2741
73,female,11,suv,21593,3,2,50,suburban,616,no,yes,3385
54,female,10,truck,21167,0,4,36,suburban,786,no,no,2284
25,female,19,hatchback,27555,1,2,7,urban,304,no,yes,2258
59,male,2,sports,38005,4,3,41,suburban,670,yes,no,4842
66,male,1,sedan,46295,3,0,48,suburban,487,yes,yes,3638
45,female,5,suv,45843,4,5,27,suburban,325,yes,yes,4874
48,male,4,suv,13691,1,0,30,rural,461,no,no,2059
26,female,17,suv,14756,1,2,8,suburban,429,yes,no,2534
71,female,15,sports,41308,0,7,50,suburban,832,yes,no,3446
68,male,7,sports,14327,2,3,50,urban,709,no,yes,3799
46,female,19,sedan,33520,0,6,28,urban,372,yes,yes,3259
31,female,10,sports,48308,4,4,13,rural,532,no,no,5338
57,female,9,sedan,45025,0,6,39,urban,405,no,yes,3420
58,male,11,sports,33900,1,3,40,urban,308,yes,no,3711
39,female,5,sports,21533,3,5,21,urban,349,yes,yes,4478
28,female,19,sports,36881,2,7,10,rural,821,no,no,4121
40,female,4,sedan,32782,1,3,22,rural,741,no,yes,2612
18,female,8,hatchback,49488,3,0,0,suburban,335,no,no,3673
63,female,15,sedan,6624,4,1,45,suburban,501,no,yes,3495
54,female,13,hatchback,45429,4,7,36,urban,417,yes,yes,4788
38,female,7,suv,25812,4,5,20,suburban,468,no,no,4721
43,male,19,suv,12529,0,6,25,suburban,811,yes,yes,2270
63,male,18,sedan,25653,4,4,45,rural,529,no,yes,3984
53,female,13,hatchback,32860,4,5,35,rural,449,yes,no,4347
71,male,6,hatchback,18654,0,5,50,suburban,507,no,no,2663
40,male,4,hatchback,7108,3,4,22,suburban,360,no,no,3505
74,female,17,suv,8947,1,6,50,suburban,416,yes,yes,2919
18,male,1,sedan,12899,2,5,0,urban,538,no,yes,3578
71,female,10,truck,18372,4,0,50,rural,347,yes,no,3385
72,female,7,hatchback,42682,4,3,50,suburban,747,no,yes,3972
68,female,0,hatchback,35373,4,0,50,suburban,767,no,yes,3585
57,female,11,truck,44435,0,3,39,urban,592,no,yes,3599
32,female,1,sedan,7263,0,1,14,rural,724,yes,no,1103
38,male,17,hatchback,31188,0,5,20,urban,816,no,no,2458
64,female,6,sedan,41583,2,1,46,urban,504,yes,no,3378
26,male,16,hatchback,34295,1,2,8,suburban,479,no,no,2463
70,female,13,sports,5577,4,6,50,urban,828,yes,yes,4629
26,female,6,hatchback,20029,3,3,8,urban,389,yes,no,3733
27,female,2,sports,40531,4,0,9,suburban,799,no,no,4014
69,male,5,sedan,35066,4,7,50,rural,407,no,yes,5126
74,female,19,hatchback,22613,4,0,50,suburban,489,no,no,3595
70,female,1,suv,24560,4,5,50,rural,479,no,yes,4643
43,female,16,suv,13945,1,0,25,urban,319,yes,yes,2047
58,female,11,truck,34418,3,2,40,urban,658,yes,yes,3579
52,male,11,suv,22071,0,4,34,suburban,306,no,yes,2670
69,female,16,sports,22130,3,0,50,suburban,621,yes,yes,3152
42,male,9,suv,25721,4,5,24,suburban,567,no,no,4346
43,female,2,suv,7712,3,1,25,urban,726,no,yes,3238
28,male,19,suv,22091,4,6,10,urban,595,no,no,4666
55,male,17,hatchback,20857,3,0,37,rural,812,no,no,2489
19,female,12,truck,46394,2,0,1,suburban,686,no,yes,2297
24,female,11,sedan,39301,3,0,6,urban,563,yes,yes,3654
35,male,16,truck,21553,0,5,17,rural,389,no,no,2537
44,female,3,sports,22404,0,6,26,suburban,787,yes,yes,2974
51,female,9,hatchback,12093,3,4,33,suburban,560,no,no,2930
44,female,10,hatchback,18156,3,0,26,rural,787,no,yes,2525
34,male,5,suv,18785,1,4,16,rural,640,no,yes,2522
60,female,5,suv,30271,3,4,42,rural,628,no,yes,3606
61,female,8,sports,19694,0,6,43,urban,700,yes,no,3329
68,female,14,hatchback,41114,2,6,50,suburban,656,yes,yes,3595
71,male,1,sedan,9013,0,2,50,suburban,798,no,yes,1807
41,female,3,truck,37799,1,1,23,rural,734,no,no,2573
42,male,4,hatchback,29752,3,0,24,urban,418,no,no,3340
24,female,16,sedan,16156,2,0,6,rural,346,no,no,2212
69,male,7,sedan,15304,0,0,50,urban,467,yes,yes,2061
23,female,7,truck,45645,2,4,5,suburban,647,yes,no,2998
70,female,11,sedan,43938,4,7,50,suburban,803,no,no,4759
41,male,7,sports,17078,0,6,23,urban,838,yes,no,2937
50,male,18,sedan,31078,4,3,32,suburban,595,yes,yes,4111
66,male,2,sports,7315,2,7,48,suburban,812,no,yes,3610
46,female,17,sedan,32220,3,1,28,rural,473,yes,yes,3595
60,female,18,suv,36731,3,5,42,urban,694,no,no,4520
39,female,18,sedan,37833,3,0,21,suburban,829,yes,yes,2662
43,female,14,sports,17420,4,3,25,suburban,602,yes,yes,4032
45,male,5,sedan,23312,3,3,27,urban,501,no,no,3786
67,female,15,sedan,26395,1,6,49,suburban,832,yes,yes,2940
38,female,7,sedan,45301,0,3,20,urban,455,yes,yes,2905
66,female,15,sports,20317,0,1,48,urban,313,yes,no,2504
24,female,17,sedan,21968,2,3,6,rural,319,yes,no,2047
34,female,19,truck,27854,4,5,16,urban,756,yes,no,3838
37,female,15,truck,10244,0,0,19,rural,472,no,no,1520
58,female,10,sports,35929,4,5,40,suburban,744,no,no,4974
66,male,6,suv,45922,2,0,48,urban,421,yes,no,3665
37,female,16,truck,29054,3,2,19,rural,796,no,no,3126
71,female,16,hatchback,23588,2,4,50,urban,483,yes,no,3395
39,female,11,truck,49590,1,3,21,suburban,348,yes,yes,3004
45,female,12,hatchback,39660,3,5,27,rural,480,no,yes,4299
57,male,9,sports,12018,3,4,39,rural,693,yes,yes,3097
66,male,6,suv,15621,3,4,48,rural,692,no,yes,3455
24,male,13,hatchback,5973,2,4,6,suburban,647,yes,yes,2164
18,male,0,hatchback,48602,1,4,0,rural,775,yes,no,3134
49,male,16,truck,44383,4,4,31,suburban,440,no,no,4287
30,male,3,hatchback,42097,2,0,12,suburban,829,yes,no,2650
47,female,4,sports,39245,0,1,29,urban,770,no,yes,3094
40,male,19,sports,30346,0,3,22,suburban,562,no,yes,2573
68,male,6,sports,45097,2,3,50,rural,442,yes,no,4174
73,female,9,truck,11444,4,0,50,rural,445,yes,no,3172
36,male,16,suv,29881,0,5,18,suburban,593,no,yes,2976
49,female,6,truck,29846,4,0,31,suburban,837,yes,yes,3286
47,female,0,sports,16406,3,6,29,urban,808,yes,no,4316
46,male,6,truck,44611,2,7,28,urban,721,no,yes,3872
66,female,10,sports,30439,3,4,48,rural,716,yes,yes,4196
62,male,8,sedan,10972,0,1,44,suburban,406,yes,no,1745
46,male,11,sedan,42873,4,3,28,rural,617,no,no,3548
47,female,2,hatchback,15931,3,5,29,suburban,358,yes,yes,3367
33,female,3,suv,12702,0,2,15,rural,557,yes,no,2161
57,male,3,sedan,24298,1,0,39,rural,724,yes,no,1670
36,female,12,sports,26540,3,2,18,rural,830,yes,yes,3802
35,female,18,truck,37040,1,3,17,suburban,465,yes,yes,2508
18,male,9,truck,36000,1,0,0,urban,324,yes,no,2574
31,male,4,hatchback,34805,0,3,13,urban,303,no,yes,2872
68,female,6,truck,7599,2,0,50,suburban,302,yes,no,2256
64,male,15,sedan,27100,4,5,46,urban,717,yes,no,3639
67,male,0,truck,35509,0,3,49,rural,661,yes,yes,2333
19,male,11,sedan,40003,3,6,1,suburban,668,no,no,3579
71,male,1,sedan,24183,4,2,50,suburban,838,yes,yes,3546
45,male,6,suv,43241,2,1,27,urban,645,no,yes,3325
66,male,10,hatchback,5018,0,5,48,urban,343,no,yes,2683
67,male,12,sports,5858,2,6,49,rural,452,no,yes,4184
47,female,1,sedan,30992,3,5,29,suburban,501,no,no,3980
55,male,6,hatchback,37580,0,0,37,urban,620,no,no,2042
68,female,14,sports,10380,3,2,50,suburban,763,yes,no,2904
21,female,10,truck,40800,4,3,3,rural,310,yes,yes,3981
18,female,1,hatchback,23915,4,2,0,rural,526,yes,no,3735
25,male,6,hatchback,45239,2,5,7,rural,632,yes,no,3193
46,male,3,hatchback,42487,2,0,28,suburban,768,no,yes,2818
72,female,10,truck,17943,4,7,50,suburban,314,no,yes,4483
56,male,1,truck,42631,1,2,38,suburban,356,no,no,2857
20,female,15,hatchback,41806,4,6,2,suburban,629,no,no,4173
49,male,6,suv,23836,0,3,31,suburban,363,no,yes,2540
27,male,12,sedan,40614,3,4,9,rural,529,no,yes,3891
27,female,4,truck,45832,4,5,9,rural,310,yes,yes,4428
36,female,16,suv,16394,4,1,18,rural,523,yes,no,3286
63,female,11,truck,11622,3,1,45,urban,841,yes,no,2863
51,male,18,hatchback,30280,3,5,33,rural,805,yes,yes,3294
50,female,6,suv,16782,0,7,32,suburban,821,no,yes,2990
40,male,5,sports,6159,3,4,22,rural,353,no,no,4107
72,male,7,sedan,9626,2,0,50,urban,456,no,yes,2956
45,male,12,sedan,28440,4,2,27,urban,704,yes,yes,3578
49,female,4,truck,41490,3,2,31,urban,698,yes,yes,3209
67,female,1,sedan,16630,0,4,49,urban,702,yes,no,2191
24,female,8,sports,49042,3,6,6,urban,388,yes,no,5051
46,male,10,suv,11589,4,4,28,suburban,485,yes,yes,3856
25,male,5,suv,28233,1,3,7,rural,378,yes,no,2857
18,female,6,hatchback,40011,3,3,0,suburban,444,no,yes,3881
74,male,6,suv,13177,2,1,50,suburban,313,yes,no,2948
72,male,18,truck,39528,4,0,50,urban,301,yes,no,4212
20,female,5,sports,43210,0,7,2,rural,815,yes,yes,3276
41,female,10,hatchback,31372,4,0,23,rural,365,no,yes,3633
40,female,10,truck,28508,1,6,22,rural,545,yes,no,3188
25,male,6,truck,19965,0,4,7,urban,729,yes,no,2183
71,male,1,truck,8236,1,1,50,suburban,531,no,yes,2611
74,male,18,sedan,20611,1,1,50,rural,735,yes,yes,2022
64,male,3,truck,27282,2,3,46,suburban,652,yes,yes,2606
54,male,5,sedan,46003,3,2,36,rural,682,no,yes,3492
20,female,16,suv,20829,2,6,2,rural,359,no,yes,3473
68,male,4,sedan,13680,2,0,50,rural,769,yes,no,2583
50,male,6,truck,16340,2,6,32,rural,710,no,yes,3020
45,male,8,sports,36093,0,1,27,urban,382,no,yes,2980
64,female,0,sports,26107,3,3,46,urban,373,yes,yes,4679
25,female,0,suv,14148,3,3,7,suburban,610,no,no,3257
51,female,18,truck,48074,0,3,33,urban,753,no,no,2581
52,male,5,sedan,22499,2,6,34,rural,325,yes,no,3490
49,female,17,sports,23165,2,2,31,suburban,725,no,yes,3243
41,female,9,hatchback,48786,1,1,23,suburban,676,yes,yes,2225
31,female,10,truck,30226,1,4,13,suburban,542,no,no,2841
49,male,0,truck,23260,4,4,31,rural,622,no,no,3705
73,female,0,hatchback,29916,1,3,50,rural,479,yes,yes,3232
63,male,12,sports,48910,3,3,45,suburban,565,no,no,4720
60,male,4,hatchback,35480,0,2,42,urban,849,no,no,2236
33,female,19,suv,37191,2,3,15,rural,679,no,yes,2780
21,male,0,sedan,14546,4,5,3,rural,376,no,no,4420
69,female,19,sedan,41044,1,1,50,urban,823,no,yes,2847
54,male,2,sports,26921,4,7,36,suburban,348,yes,no,5396
71,female,17,hatchback,41940,0,7,50,urban,553,no,no,3591
38,female,8,truck,17836,0,3,20,rural,679,yes,yes,1978
31,female,13,truck,13989,4,7,13,suburban,548,no,no,3969
48,male,16,truck,18740,4,3,30,suburban,371,no,yes,3875
72,female,13,suv,35180,4,1,50,urban,746,yes,no,3829
65,male,3,suv,18102,2,0,47,rural,805,no,no,2492
35,female,4,truck,20357,3,5,17,rural,552,no,yes,3917
24,male,16,sports,35255,1,5,6,suburban,598,no,yes,3606
27,male,1,suv,41094,1,7,9,rural,359,no,no,3804
24,female,4,suv,30221,1,4,6,suburban,656,yes,yes,2565
50,female,3,sedan,5719,4,3,32,suburban,456,yes,yes,3172
40,female,3,sedan,22906,4,1,22,suburban,641,no,yes,3415
38,female,5,sports,28140,4,4,20,rural,501,yes,yes,4476
36,female,19,suv,6069,2,6,18,urban,334,yes,no,3788
65,male,12,suv,12749,2,7,47,suburban,834,no,no,3292
36,female,4,hatchback,17935,2,6,18,urban,755,no,yes,3640
53,female,6,sports,42655,2,2,35,urban,464,yes,no,3866
46,male,19,sports,49035,0,6,28,urban,327,yes,no,4071
35,female,0,hatchback,35720,2,6,17,urban,671,yes,no,3887
19,female,13,hatchback,32937,2,0,1,urban,613,yes,no,2719
18,male,3,sedan,23540,2,3,0,suburban,583,yes,no,2660
64,female,16,sports,12944,1,0,46,rural,597,yes,no,2398
22,female,13,sports,17747,1,3,4,urban,774,no,yes,3035
37,female,15,hatchback,15505,1,3,19,rural,648,no,no,2049
28,male,13,truck,16697,3,3,10,rural,744,yes,no,2787
59,female,15,truck,41907,0,0,41,suburban,506,no,yes,2136
19,male,19,sedan,20221,4,5,1,urban,716,no,yes,4074
20,female,7,truck,12087,2,2,2,rural,738,yes,no,2658
40,male,2,truck,26462,1,5,22,rural,464,yes,no,3070
72,female,18,truck,27789,0,1,50,urban,719,yes,no,1986
29,male,0,suv,38400,2,1,11,suburban,670,no,no,2974
37,male,1,sedan,7199,3,6,19,suburban,565,yes,yes,3870
22,male,14,hatchback,49023,4,5,4,urban,578,no,yes,4996
54,male,9,truck,26737,2,2,36,rural,781,no,yes,2456
55,male,17,suv,11073,4,6,37,suburban,816,yes,yes,3618
47,male,13,truck,21744,2,2,29,suburban,381,no,yes,2673
26,female,16,suv,15559,3,3,8,rural,418,yes,yes,3790
51,female,12,sedan,37695,0,3,33,rural,602,yes,no,2205
70,male,0,truck,13401,4,1,50,rural,514,no,no,3548
61,male,4,suv,16659,4,3,43,rural,327,yes,no,3893
52,male,12,sports,46890,0,6,34,urban,797,yes,yes,3778
69,male,13,sports,18894,4,3,50,rural,836,yes,no,4158
39,female,2,suv,34160,1,2,21,suburban,818,yes,yes,2707
61,male,14,truck,34272,0,0,43,rural,493,yes,yes,1895
41,female,18,truck,29512,3,7,23,rural,741,yes,no,3636
34,female,16,sedan,38645,2,5,16,urban,335,no,no,3875
27,male,2,sedan,26179,2,4,9,urban,557,yes,no,3341
47,male,15,hatchback,15691,0,4,29,rural,412,no,no,2038
73,female,13,sedan,21110,1,3,50,urban,593,yes,yes,3024
63,female,11,truck,40291,3,3,45,urban,313,yes,no,4145
40,male,11,hatchback,34845,2,5,22,urban,439,no,yes,3992
49,male,10,sedan,44038,2,4,31,urban,670,no,yes,3733
34,male,16,suv,29967,1,2,16,rural,726,yes,no,2529
67,female,7,sports,33478,4,7,49,urban,396,yes,yes,5494
68,female,16,sedan,10088,0,4,50,urban,787,no,no,2227
34,male,19,sedan,45332,1,4,16,suburban,641,no,yes,2841
31,female,10,suv,12066,1,6,13,rural,791,no,yes,2583
26,female,1,truck,44313,1,4,8,urban,799,no,yes,3225
57,male,9,suv,7321,1,3,39,suburban,731,yes,no,2089
19,male,9,sedan,29533,4,6,1,urban,488,no,no,5072
62,female,10,truck,29509,3,3,44,rural,381,yes,no,3621
42,female,5,hatchback,46098,1,5,24,suburban,479,no,no,3597
56,male,3,sedan,13294,1,4,38,suburban,714,yes,yes,2248
26,male,11,suv,43101,0,7,8,rural,404,no,no,3281
71,male,10,hatchback,30059,2,3,50,suburban,680,yes,yes,2595
39,male,12,sports,36248,4,5,21,suburban,628,no,no,4809
60,male,4,hatchback,45626,1,4,42,urban,548,no,yes,3906
63,female,5,suv,25703,3,7,45,suburban,371,no,yes,4443
21,female,0,hatchback,43157,3,2,3,rural,432,no,yes,3588
43,female,5,suv,8205,3,3,25,urban,539,yes,yes,3690
46,female,17,sedan,39929,0,7,28,suburban,377,no,yes,3024
62,male,8,truck,22848,3,7,44,urban,760,no,yes,4052
51,male,14,sports,38411,0,7,33,rural,424,no,no,3510
40,male,7,truck,19986,4,0,22,suburban,310,yes,yes,3338
54,female,18,truck,16628,3,7,36,rural,767,yes,no,3429
28,female,15,truck,43119,2,5,10,rural,706,no,no,3446
23,female,5,suv,9553,1,3,5,suburban,326,yes,no,2450
35,male,5,suv,11518,4,2,17,suburban,506,yes,yes,3563
38,female,2,sports,43491,2,2,20,urban,521,yes,yes,3918
59,male,9,suv,12946,4,3,41,rural,611,no,yes,3789
53,male,0,suv,5610,3,7,35,suburban,681,yes,yes,3805
58,male,13,suv,9302,4,1,40,rural,614,yes,yes,3036
55,male,3,suv,39311,4,5,37,suburban,507,no,no,4600
51,male,11,sedan,39234,4,4,33,rural,595,no,yes,4131
34,male,5,sports,46876,0,4,16,urban,701,no,no,3323
54,female,10,suv,19656,2,2,36,rural,734,yes,yes,2806
42,male,11,sports,44004,3,7,24,suburban,421,no,yes,5133
55,male,9,hatchback,23656,1,3,37,urban,405,yes,no,2664
29,female,17,sedan,46811,3,1,11,urban,335,yes,no,3757
40,male,6,suv,9536,3,5,22,suburban,849,no,yes,3182
70,female,6,sedan,47974,0,0,50,urban,371,no,yes,2715
59,female,10,sedan,24856,0,4,41,rural,466,no,no,2736
39,female,3,hatchback,41410,4,6,21,rural,520,no,yes,4931
38,male,19,sports,49830,3,5,20,suburban,375,no,yes,4970
44,male,0,sedan,21447,2,7,26,rural,510,no,yes,3794
74,female,12,truck,38327,0,5,50,suburban,527,yes,yes,3083
48,male,17,hatchback,39501,0,1,30,urban,752,no,yes,2007
23,male,8,truck,13861,2,5,5,rural,786,yes,yes,2570
44,female,8,hatchback,25278,0,4,26,suburban,773,yes,no,1940
57,female,8,truck,6542,2,3,39,rural,789,yes,yes,2350
51,male,9,truck,47231,1,7,33,urban,675,yes,no,3357
29,female,1,sedan,7415,2,4,11,urban,530,yes,yes,3133
62,female,5,sedan,48751,1,0,44,rural,524,yes,no,3100
74,female,14,hatchback,17905,4,3,50,urban,774,no,yes,3549
70,male,2,sports,26601,4,2,50,suburban,379,yes,no,4286
24,male,10,sedan,43155,0,1,6,rural,509,yes,no,1933
27,male,5,sedan,26563,2,7,9,rural,596,yes,yes,4173
62,female,2,suv,45955,0,4,44,urban,471,no,no,3692
34,male,10,sedan,11643,2,3,16,suburban,388,yes,no,2648
43,female,14,sports,29044,0,5,25,rural,525,yes,yes,3149
38,male,12,suv,16246,4,3,20,rural,442,no,yes,3930
45,male,19,truck,7458,4,4,27,urban,353,no,no,3761
63,female,9,truck,11028,0,2,45,urban,495,no,yes,2197
19,male,5,suv,43215,2,4,1,suburban,788,yes,no,3252
71,female,14,suv,39716,3,2,50,suburban,597,no,yes,3794
60,male,17,suv,11306,2,5,42,urban,729,no,no,3141
18,male,17,hatchback,46019,0,4,0,suburban,836,no,no,2325
68,female,6,sports,45860,2,3,50,urban,799,yes,no,3917
70,female,14,sports,32678,1,0,50,rural,505,no,no,3615
53,female,17,truck,29908,2,0,35,urban,436,yes,yes,3058
68,male,17,truck,17363,4,5,50,urban,707,yes,no,3628
43,male,19,truck,19066,4,6,25,urban,578,no,yes,3915
46,male,8,sedan,37711,1,6,28,rural,744,yes,yes,2826
38,female,1,truck,5189,2,3,20,suburban,570,yes,no,2865
28,female,7,suv,16752,3,0,10,suburban,740,yes,no,2668
57,female,19,truck,12482,2,5,39,suburban,527,no,no,3077
28,male,1,suv,21679,4,2,10,urban,426,yes,no,4038
53,male,10,hatchback,29552,4,3,35,urban,569,no,yes,4175
66,female,6,sedan,5799,0,6,48,suburban,786,yes,no,1975
56,male,5,sedan,30381,4,7,38,rural,847,no,no,4160
57,female,9,sports,14934,0,2,39,rural,454,yes,yes,2468
52,male,4,hatchback,24084,4,3,34,rural,318,yes,yes,4197
71,male,10,suv,46556,4,2,50,rural,724,no,no,3981
51,female,0,hatchback,14909,3,2,33,urban,357,yes,no,3675
72,male,1,sedan,30931,0,0,50,suburban,722,no,no,2016
64,male,0,suv,30868,0,7,46,rural,847,no,no,2871
41,female,18,hatchback,48558,4,3,23,urban,401,yes,no,4287
71,female,1,sedan,18846,0,4,50,urban,375,no,no,3130
39,male,19,suv,27257,4,0,21,urban,365,yes,no,3569
22,female,3,suv,33013,4,2,4,suburban,450,no,no,4113
73,male,11,sedan,42482,2,2,50,urban,736,no,no,3757
50,female,19,suv,27875,0,6,32,suburban,367,no,no,3118
53,male,17,sedan,29717,1,4,35,suburban,534,yes,yes,2821
64,male,0,truck,16408,0,6,46,suburban,397,yes,yes,2916
37,female,0,truck,40607,0,4,19,suburban,308,yes,no,2785
36,male,13,suv,41281,3,2,18,urban,803,yes,no,3814
52,male,3,suv,32326,1,4,34,urban,789,no,no,2852
69,female,4,sedan,18601,1,7,50,urban,726,yes,no,3179
60,female,10,suv,6135,3,1,42,rural,526,yes,no,2605
34,male,12,sports,27741,3,6,16,rural,316,no,yes,4577
62,female,15,truck,16913,0,6,44,suburban,527,yes,no,2476
60,female,12,suv,15101,2,0,42,suburban,537,yes,yes,2894
51,male,1,suv,23631,3,7,33,suburban,680,no,no,4204
26,male,15,hatchback,11548,1,3,8,suburban,686,yes,no,1680
43,female,5,suv,42284,1,6,25,suburban,553,yes,no,3604
19,female,13,sports,41870,0,4,1,rural,607,yes,no,2813
70,female,0,truck,32215,2,4,50,suburban,613,yes,no,3079
26,male,16,hatchback,42279,4,1,8,urban,600,yes,no,3579
26,male,10,sedan,24215,3,3,8,suburban,417,no,no,3677
57,male,18,sedan,30582,3,1,39,urban,349,yes,no,3310
34,male,2,truck,19024,0,3,16,urban,480,yes,yes,2380
18,male,10,sedan,16413,2,6,0,urban,842,yes,no,3006
42,male,4,sports,21319,1,6,24,urban,626,yes,no,4207
60,male,16,suv,24446,1,0,42,suburban,802,yes,no,2070
57,female,6,truck,45743,4,4,39,suburban,795,yes,no,4336
59,female,9,hatchback,37036,1,0,41,suburban,545,yes,no,2654
42,male,10,suv,17621,3,3,24,suburban,842,yes,yes,3229
56,male,2,sedan,15511,4,4,38,suburban,401,no,no,4154
52,male,19,sedan,24923,2,6,34,rural,529,yes,yes,3446
20,female,9,hatchback,15558,4,1,2,urban,687,yes,yes,2836
67,male,9,sports,37235,2,6,49,urban,510,yes,no,4816
54,female,13,hatchback,5526,1,6,36,rural,729,no,yes,2363
61,female,11,truck,6753,0,2,43,rural,638,yes,no,1484
61,female,14,hatchback,31248,4,1,43,suburban,483,no,yes,3755
68,female,9,sedan,19656,4,2,50,suburban,355,yes,no,3850
47,female,9,sports,28266,3,7,29,urban,581,yes,yes,5203
55,male,18,sports,15220,3,7,37,suburban,427,yes,no,3776
51,male,0,hatchback,23038,2,1,33,urban,807,yes,yes,2678
29,female,9,truck,17741,0,3,11,suburban,515,no,yes,1743
36,male,1,sedan,9841,3,0,18,suburban,389,no,no,2909
54,female,16,suv,41809,3,7,36,urban,613,yes,yes,4356
61,female,6,sports,35575,1,2,43,rural,532,yes,yes,3697
66,male,6,hatchback,46733,1,3,48,rural,546,yes,yes,3266
34,male,19,truck,19418,3,0,16,suburban,741,yes,yes,2176
27,male,8,truck,42185,2,0,9,rural,434,no,no,3146
74,male,1,sedan,46745,0,4,50,suburban,301,yes,yes,3026
72,male,13,sports,32881,3,6,50,rural,460,no,no,4723
66,female,16,sedan,19587,2,4,48,rural,439,no,no,3260
64,male,0,suv,27268,2,6,46,urban,603,no,yes,4287
29,male,8,suv,5448,3,4,11,rural,759,yes,yes,3104
33,male,19,suv,42353,2,2,15,suburban,424,yes,no,3340
41,female,18,truck,13108,4,2,23,urban,646,no,no,3847
36,male,3,sports,16443,2,6,18,rural,623,no,no,3517
25,female,7,sedan,27435,3,7,7,urban,706,no,yes,3867
48,male,12,sedan,38062,2,0,30,rural,768,yes,yes,2450
38,male,3,suv,6238,3,2,20,suburban,463,yes,yes,3472
34,female,8,sports,20321,1,0,16,suburban,539,no,no,2568
40,male,8,sports,21074,3,3,22,urban,512,yes,yes,4602
54,male,17,hatchback,18049,2,1,36,rural,448,yes,no,2238
71,female,11,sports,40584,3,0,50,rural,402,yes,no,3977
33,male,9,sports,6098,0,0,15,urban,482,no,no,2386
23,female,10,sedan,19679,3,3,5,urban,804,yes,no,2932
25,female,6,sports,39505,3,6,7,suburban,824,yes,no,4200
42,female,8,sports,40533,0,4,24,urban,679,no,yes,3459
35,female,5,sedan,16434,0,5,17,rural,323,no,no,2766
42,female,18,sports,49859,0,7,24,urban,432,yes,yes,3664
